"Date","Violations","Statistics","Value"
2015,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",509.93
2016,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",519.95
2017,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",526.32
2018,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",536.3
2019,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",570.94
2010,"Total violent Criminal Code violations [100]","Total, adult charged",155854
2011,"Total violent Criminal Code violations [100]","Total, adult charged",150044
2012,"Total violent Criminal Code violations [100]","Total, adult charged",150371
2013,"Total violent Criminal Code violations [100]","Total, adult charged",142189
2014,"Total violent Criminal Code violations [100]","Total, adult charged",139086
2015,"Total violent Criminal Code violations [100]","Total, adult charged",143897
2016,"Total violent Criminal Code violations [100]","Total, adult charged",148232
2017,"Total violent Criminal Code violations [100]","Total, adult charged",151490
2018,"Total violent Criminal Code violations [100]","Total, adult charged",157475
2019,"Total violent Criminal Code violations [100]","Total, adult charged",169986
2010,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",575.93
2011,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",547.63
2012,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",541.42
2013,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",505.37
2014,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",488.53
2015,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",501.44
2016,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",510.62
2017,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",514.88
2018,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",526.88
2019,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",559.78
2010,"Total violent Criminal Code violations [100]","Total, youth charged",21747
2011,"Total violent Criminal Code violations [100]","Total, youth charged",20051
2012,"Total violent Criminal Code violations [100]","Total, youth charged",18677
2013,"Total violent Criminal Code violations [100]","Total, youth charged",16549
2014,"Total violent Criminal Code violations [100]","Total, youth charged",14741
2015,"Total violent Criminal Code violations [100]","Total, youth charged",14425
2016,"Total violent Criminal Code violations [100]","Total, youth charged",15007
2017,"Total violent Criminal Code violations [100]","Total, youth charged",15834
2018,"Total violent Criminal Code violations [100]","Total, youth charged",15572
2019,"Total violent Criminal Code violations [100]","Total, youth charged",17125
2010,"Total violent Criminal Code violations [100]","Rate, youth charged per 100,000 population aged 12 to 17 years",859.84
2011,"Total violent Criminal Code violations [100]","Rate, youth charged per 100,000 population aged 12 to 17 years",805.92
2012,"Total violent Criminal Code violations [100]","Rate, youth charged per 100,000 population aged 12 to 17 years",765.3
2013,"Total violent Criminal Code violations [100]","Rate, youth charged per 100,000 population aged 12 to 17 years",691.63
2014,"Total violent Criminal Code violations [100]","Rate, youth charged per 100,000 population aged 12 to 17 years",624.6
2015,"Total violent Criminal Code violations [100]","Rate, youth charged per 100,000 population aged 12 to 17 years",613.59
2016,"Total violent Criminal Code violations [100]","Rate, youth charged per 100,000 population aged 12 to 17 years",634.39
2017,"Total violent Criminal Code violations [100]","Rate, youth charged per 100,000 population aged 12 to 17 years",668.37
2018,"Total violent Criminal Code violations [100]","Rate, youth charged per 100,000 population aged 12 to 17 years",654.63
2019,"Total violent Criminal Code violations [100]","Rate, youth charged per 100,000 population aged 12 to 17 years",711.86
2010,"Total violent Criminal Code violations [100]","Total, youth not charged",24309
2011,"Total violent Criminal Code violations [100]","Total, youth not charged",22953
2012,"Total violent Criminal Code violations [100]","Total, youth not charged",20883
2013,"Total violent Criminal Code violations [100]","Total, youth not charged",17446
2014,"Total violent Criminal Code violations [100]","Total, youth not charged",15273
2015,"Total violent Criminal Code violations [100]","Total, youth not charged",15115
2016,"Total violent Criminal Code violations [100]","Total, youth not charged",15240
2017,"Total violent Criminal Code violations [100]","Total, youth not charged",16338
2018,"Total violent Criminal Code violations [100]","Total, youth not charged",16037
2019,"Total violent Criminal Code violations [100]","Total, youth not charged",15309
2010,"Total violent Criminal Code violations [100]","Rate, youth not charged per 100,000 population aged 12 to 17 years",961.14
2011,"Total violent Criminal Code violations [100]","Rate, youth not charged per 100,000 population aged 12 to 17 years",922.56
2012,"Total violent Criminal Code violations [100]","Rate, youth not charged per 100,000 population aged 12 to 17 years",855.69
2013,"Total violent Criminal Code violations [100]","Rate, youth not charged per 100,000 population aged 12 to 17 years",729.12
2014,"Total violent Criminal Code violations [100]","Rate, youth not charged per 100,000 population aged 12 to 17 years",647.14
2015,"Total violent Criminal Code violations [100]","Rate, youth not charged per 100,000 population aged 12 to 17 years",642.94
2016,"Total violent Criminal Code violations [100]","Rate, youth not charged per 100,000 population aged 12 to 17 years",644.24
2017,"Total violent Criminal Code violations [100]","Rate, youth not charged per 100,000 population aged 12 to 17 years",689.64
2018,"Total violent Criminal Code violations [100]","Rate, youth not charged per 100,000 population aged 12 to 17 years",674.18
2019,"Total violent Criminal Code violations [100]","Rate, youth not charged per 100,000 population aged 12 to 17 years",636.37
2010,"Total property crime violations [200]","Actual incidents",1305150
2011,"Total property crime violations [200]","Actual incidents",1214312
2012,"Total property crime violations [200]","Actual incidents",1193600
2013,"Total property crime violations [200]","Actual incidents",1106509
2014,"Total property crime violations [200]","Actual incidents",1098399
2015,"Total property crime violations [200]","Actual incidents",1153700
2016,"Total property crime violations [200]","Actual incidents",1169445
2017,"Total property crime violations [200]","Actual incidents",1193319
2018,"Total property crime violations [200]","Actual incidents",1241083
2019,"Total property crime violations [200]","Actual incidents",1319562
2010,"Total property crime violations [200]","Rate per 100,000 population",3838.08
2011,"Total property crime violations [200]","Rate per 100,000 population",3536.21
2012,"Total property crime violations [200]","Rate per 100,000 population",3438.36
2013,"Total property crime violations [200]","Rate per 100,000 population",3153.98
2014,"Total property crime violations [200]","Rate per 100,000 population",3099.54
2015,"Total property crime violations [200]","Rate per 100,000 population",3231.39
2016,"Total property crime violations [200]","Rate per 100,000 population",3238.61
2017,"Total property crime violations [200]","Rate per 100,000 population",3265.49
2018,"Total property crime violations [200]","Rate per 100,000 population",3349.05
2019,"Total property crime violations [200]","Rate per 100,000 population",3510.48
2010,"Total property crime violations [200]","Percentage change in rate",-6.89
2011,"Total property crime violations [200]","Percentage change in rate",-7.87
2012,"Total property crime violations [200]","Percentage change in rate",-2.77
2013,"Total property crime violations [200]","Percentage change in rate",-8.27
2014,"Total property crime violations [200]","Percentage change in rate",-1.73
2015,"Total property crime violations [200]","Percentage change in rate",4.25
2016,"Total property crime violations [200]","Percentage change in rate",0.22
2017,"Total property crime violations [200]","Percentage change in rate",0.83
2018,"Total property crime violations [200]","Percentage change in rate",2.56
2019,"Total property crime violations [200]","Percentage change in rate",4.82
2010,"Total property crime violations [200]","Total cleared",308520
2011,"Total property crime violations [200]","Total cleared",289593
2012,"Total property crime violations [200]","Total cleared",284294
2013,"Total property crime violations [200]","Total cleared",265494
2014,"Total property crime violations [200]","Total cleared",257666
2015,"Total property crime violations [200]","Total cleared",259602
2016,"Total property crime violations [200]","Total cleared",248529
2017,"Total property crime violations [200]","Total cleared",250883
2018,"Total property crime violations [200]","Total cleared",255582
2019,"Total property crime violations [200]","Total cleared",257566
2010,"Total property crime violations [200]","Total, persons charged",154116
2011,"Total property crime violations [200]","Total, persons charged",143321
2012,"Total property crime violations [200]","Total, persons charged",141161
2013,"Total property crime violations [200]","Total, persons charged",134574
2014,"Total property crime violations [200]","Total, persons charged",128230
2015,"Total property crime violations [200]","Total, persons charged",129911
2016,"Total property crime violations [200]","Total, persons charged",122549
2017,"Total property crime violations [200]","Total, persons charged",121191
2018,"Total property crime violations [200]","Total, persons charged",125160
2019,"Total property crime violations [200]","Total, persons charged",132113
2010,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",520.83
2011,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",479.55
2012,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",467.21
2013,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",440.82
2014,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",415.92
2015,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",418.43
2016,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",390.34
2017,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",381.21
2018,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",387.89
2019,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",403.12
2010,"Total property crime violations [200]","Total, adult charged",127951
2011,"Total property crime violations [200]","Total, adult charged",120827
2012,"Total property crime violations [200]","Total, adult charged",120615
2013,"Total property crime violations [200]","Total, adult charged",117287
2014,"Total property crime violations [200]","Total, adult charged",113484
2015,"Total property crime violations [200]","Total, adult charged",115741
2016,"Total property crime violations [200]","Total, adult charged",110642
2017,"Total property crime violations [200]","Total, adult charged",110314
2018,"Total property crime violations [200]","Total, adult charged",115656
2019,"Total property crime violations [200]","Total, adult charged",123610
2010,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",472.82
2011,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",441
2012,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",434.28
2013,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",416.86
2014,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",398.6
2015,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",403.33
2016,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",381.13
2017,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",374.94
2018,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",386.96
2019,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",407.06
2010,"Total property crime violations [200]","Total, youth charged",26165
2011,"Total property crime violations [200]","Total, youth charged",22494
2012,"Total property crime violations [200]","Total, youth charged",20546
2013,"Total property crime violations [200]","Total, youth charged",17287
2014,"Total property crime violations [200]","Total, youth charged",14746
2015,"Total property crime violations [200]","Total, youth charged",14170
2016,"Total property crime violations [200]","Total, youth charged",11907
2017,"Total property crime violations [200]","Total, youth charged",10877
2018,"Total property crime violations [200]","Total, youth charged",9504
2019,"Total property crime violations [200]","Total, youth charged",8503
2010,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",1034.52
2011,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",904.11
2012,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",841.88
2013,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",722.48
2014,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",624.81
2015,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",602.74
2016,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",503.34
2017,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",459.13
2018,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",399.54
2019,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",353.46
2010,"Total property crime violations [200]","Total, youth not charged",52607
2011,"Total property crime violations [200]","Total, youth not charged",44736
2012,"Total property crime violations [200]","Total, youth not charged",40825
2013,"Total property crime violations [200]","Total, youth not charged",32275
2014,"Total property crime violations [200]","Total, youth not charged",30053
2015,"Total property crime violations [200]","Total, youth not charged",29795
2016,"Total property crime violations [200]","Total, youth not charged",28088
2017,"Total property crime violations [200]","Total, youth not charged",27910
2018,"Total property crime violations [200]","Total, youth not charged",23413
2019,"Total property crime violations [200]","Total, youth not charged",21548
2010,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2079.99
2011,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1798.1
2012,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1672.83
2013,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1348.87
2014,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1273.39
2015,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1267.37
2016,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1187.36
2017,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1178.11
2018,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",984.26
2019,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",895.72
2010,"Total other Criminal Code violations [300]","Actual incidents",349968
2011,"Total other Criminal Code violations [300]","Actual incidents",346140
2012,"Total other Criminal Code violations [300]","Actual incidents",347480
2013,"Total other Criminal Code violations [300]","Actual incidents",335537
2014,"Total other Criminal Code violations [300]","Actual incidents",325163
2015,"Total other Criminal Code violations [300]","Actual incidents",332018
2016,"Total other Criminal Code violations [300]","Actual incidents",354743
2017,"Total other Criminal Code violations [300]","Actual incidents",364184
2018,"Total other Criminal Code violations [300]","Actual incidents",375406
2019,"Total other Criminal Code violations [300]","Actual incidents",408510
2010,"Total other Criminal Code violations [300]","Rate per 100,000 population",1029.16
2011,"Total other Criminal Code violations [300]","Rate per 100,000 population",1008
2012,"Total other Criminal Code violations [300]","Rate per 100,000 population",1000.97
2013,"Total other Criminal Code violations [300]","Rate per 100,000 population",956.41
2014,"Total other Criminal Code violations [300]","Rate per 100,000 population",917.57
2015,"Total other Criminal Code violations [300]","Rate per 100,000 population",929.95
2016,"Total other Criminal Code violations [300]","Rate per 100,000 population",982.41
2017,"Total other Criminal Code violations [300]","Rate per 100,000 population",996.58
2018,"Total other Criminal Code violations [300]","Rate per 100,000 population",1013.03
2019,"Total other Criminal Code violations [300]","Rate per 100,000 population",1086.77
2010,"Total other Criminal Code violations [300]","Percentage change in rate",1.17
2011,"Total other Criminal Code violations [300]","Percentage change in rate",-2.06
2012,"Total other Criminal Code violations [300]","Percentage change in rate",-0.7
2013,"Total other Criminal Code violations [300]","Percentage change in rate",-4.45
2014,"Total other Criminal Code violations [300]","Percentage change in rate",-4.06
2015,"Total other Criminal Code violations [300]","Percentage change in rate",1.35
2016,"Total other Criminal Code violations [300]","Percentage change in rate",5.64
2017,"Total other Criminal Code violations [300]","Percentage change in rate",1.44
2018,"Total other Criminal Code violations [300]","Percentage change in rate",1.65
2019,"Total other Criminal Code violations [300]","Percentage change in rate",7.28
2010,"Total other Criminal Code violations [300]","Total cleared",267084
2011,"Total other Criminal Code violations [300]","Total cleared",261638
2012,"Total other Criminal Code violations [300]","Total cleared",263616
2013,"Total other Criminal Code violations [300]","Total cleared",258314
2014,"Total other Criminal Code violations [300]","Total cleared",247868
2015,"Total other Criminal Code violations [300]","Total cleared",248049
2016,"Total other Criminal Code violations [300]","Total cleared",270503
2017,"Total other Criminal Code violations [300]","Total cleared",281579
2018,"Total other Criminal Code violations [300]","Total cleared",291520
2019,"Total other Criminal Code violations [300]","Total cleared",292702
2010,"Total other Criminal Code violations [300]","Total, persons charged",164433
2011,"Total other Criminal Code violations [300]","Total, persons charged",160246
2012,"Total other Criminal Code violations [300]","Total, persons charged",164195
2013,"Total other Criminal Code violations [300]","Total, persons charged",159377
2014,"Total other Criminal Code violations [300]","Total, persons charged",160593
2015,"Total other Criminal Code violations [300]","Total, persons charged",165593
2016,"Total other Criminal Code violations [300]","Total, persons charged",188753
2017,"Total other Criminal Code violations [300]","Total, persons charged",198190
2018,"Total other Criminal Code violations [300]","Total, persons charged",209481
2019,"Total other Criminal Code violations [300]","Total, persons charged",215491
2010,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",555.7
2011,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",536.18
