"Date","Violations","Statistics","Value"
2009,"Total, all violations [0]","Percentage change in rate",-2.59
2010,"Total, all violations [0]","Percentage change in rate",-3.92
2011,"Total, all violations [0]","Percentage change in rate",-5.27
2012,"Total, all violations [0]","Percentage change in rate",-2.45
2013,"Total, all violations [0]","Percentage change in rate",-7.47
2014,"Total, all violations [0]","Percentage change in rate",-3.16
2015,"Total, all violations [0]","Percentage change in rate",2.44
2016,"Total, all violations [0]","Percentage change in rate",0.89
2017,"Total, all violations [0]","Percentage change in rate",1.16
2018,"Total, all violations [0]","Percentage change in rate",1.6
2019,"Total, all violations [0]","Percentage change in rate",5.43
2000,"Total, all violations [0]","Total cleared",1051798
2001,"Total, all violations [0]","Total cleared",1034691
2002,"Total, all violations [0]","Total cleared",1028361
2003,"Total, all violations [0]","Total cleared",1030104
2004,"Total, all violations [0]","Total cleared",1025497
2005,"Total, all violations [0]","Total cleared",1025889
2006,"Total, all violations [0]","Total cleared",1070655
2007,"Total, all violations [0]","Total cleared",1063208
2008,"Total, all violations [0]","Total cleared",1085013
2009,"Total, all violations [0]","Total cleared",1088732
2010,"Total, all violations [0]","Total cleared",1096584
2011,"Total, all violations [0]","Total cleared",1066428
2012,"Total, all violations [0]","Total cleared",1050701
2013,"Total, all violations [0]","Total cleared",991939
2014,"Total, all violations [0]","Total cleared",952516
2015,"Total, all violations [0]","Total cleared",951547
2016,"Total, all violations [0]","Total cleared",965760
2017,"Total, all violations [0]","Total cleared",983909
2018,"Total, all violations [0]","Total cleared",992420
2019,"Total, all violations [0]","Total cleared",977085
2000,"Total, all violations [0]","Total, persons charged",629391
2001,"Total, all violations [0]","Total, persons charged",655140
2002,"Total, all violations [0]","Total, persons charged",649341
2003,"Total, all violations [0]","Total, persons charged",626671
2004,"Total, all violations [0]","Total, persons charged",632415
2005,"Total, all violations [0]","Total, persons charged",623465
2006,"Total, all violations [0]","Total, persons charged",635587
2007,"Total, all violations [0]","Total, persons charged",643002
2008,"Total, all violations [0]","Total, persons charged",652326
2009,"Total, all violations [0]","Total, persons charged",658707
2010,"Total, all violations [0]","Total, persons charged",656494
2011,"Total, all violations [0]","Total, persons charged",629943
2012,"Total, all violations [0]","Total, persons charged",628614
2013,"Total, all violations [0]","Total, persons charged",595717
2014,"Total, all violations [0]","Total, persons charged",578044
2015,"Total, all violations [0]","Total, persons charged",586305
2016,"Total, all violations [0]","Total, persons charged",602329
2017,"Total, all violations [0]","Total, persons charged",605318
2018,"Total, all violations [0]","Total, persons charged",620626
2019,"Total, all violations [0]","Total, persons charged",642813
2000,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2418.27
2001,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2482.36
2002,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2424.27
2003,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2308.92
2004,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2299.8
2005,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2238.87
2006,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2254.02
2007,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2253.59
2008,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2258.24
2009,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2252.24
2010,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2218.62
2011,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2107.78
2012,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2080.55
2013,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1951.36
2014,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1874.92
2015,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1888.41
2016,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1918.53
2017,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1904.04
2018,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1923.41
2019,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1961.45
2000,"Total, all violations [0]","Total, adult charged",515796
2001,"Total, all violations [0]","Total, adult charged",539022
2002,"Total, all violations [0]","Total, adult charged",536222
2003,"Total, all violations [0]","Total, adult charged",533074
2004,"Total, all violations [0]","Total, adult charged",543150
2005,"Total, all violations [0]","Total, adult charged",537740
2006,"Total, all violations [0]","Total, adult charged",549727
2007,"Total, all violations [0]","Total, adult charged",552322
2008,"Total, all violations [0]","Total, adult charged",564838
2009,"Total, all violations [0]","Total, adult charged",574217
2010,"Total, all violations [0]","Total, adult charged",576904
2011,"Total, all violations [0]","Total, adult charged",557349
2012,"Total, all violations [0]","Total, adult charged",560984
2013,"Total, all violations [0]","Total, adult charged",537465
2014,"Total, all violations [0]","Total, adult charged",526495
2015,"Total, all violations [0]","Total, adult charged",537067
2016,"Total, all violations [0]","Total, adult charged",555971
2017,"Total, all violations [0]","Total, adult charged",560801
2018,"Total, all violations [0]","Total, adult charged",580229
2019,"Total, all violations [0]","Total, adult charged",604210
2000,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2190.1
2001,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2255.52
2002,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2210.53
2003,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2168.23
2004,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2179.86
2005,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2130.57
2006,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2149.78
2007,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2131.53
2008,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2148.51
2009,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2152.09
2010,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2131.86
2011,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2034.22
2012,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2019.86
2013,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1910.27
2014,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1849.28
2015,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1871.53
2016,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1915.18
2017,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1906.05
2018,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1941.33
2019,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1989.72
2000,"Total, all violations [0]","Total, youth charged",113595
2001,"Total, all violations [0]","Total, youth charged",116118
2002,"Total, all violations [0]","Total, youth charged",113119
2003,"Total, all violations [0]","Total, youth charged",93597
2004,"Total, all violations [0]","Total, youth charged",89265
2005,"Total, all violations [0]","Total, youth charged",85725
2006,"Total, all violations [0]","Total, youth charged",85860
2007,"Total, all violations [0]","Total, youth charged",90680
2008,"Total, all violations [0]","Total, youth charged",87488
2009,"Total, all violations [0]","Total, youth charged",84490
2010,"Total, all violations [0]","Total, youth charged",79590
2011,"Total, all violations [0]","Total, youth charged",72594
2012,"Total, all violations [0]","Total, youth charged",67630
2013,"Total, all violations [0]","Total, youth charged",58252
2014,"Total, all violations [0]","Total, youth charged",51549
2015,"Total, all violations [0]","Total, youth charged",49238
2016,"Total, all violations [0]","Total, youth charged",46358
2017,"Total, all violations [0]","Total, youth charged",44517
2018,"Total, all violations [0]","Total, youth charged",40397
2019,"Total, all violations [0]","Total, youth charged",38603
2000,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",4589.3
2001,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",4656.2
2002,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",4475.76
2003,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",3662.47
2004,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",3457.33
2005,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",3286.84
2006,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",3268.78
2007,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",3460.62
2008,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",3369.12
2009,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",3294.14
2010,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",3146.85
2011,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",2917.81
2012,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",2771.18
2013,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",2434.53
2014,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",2184.21
2015,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",2094.4
2016,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",1959.68
2017,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",1879.11
2018,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",1698.26
2019,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",1604.68
2000,"Total, all violations [0]","Total, youth not charged",78704
2001,"Total, all violations [0]","Total, youth not charged",86040
2002,"Total, all violations [0]","Total, youth not charged",87304
2003,"Total, all violations [0]","Total, youth not charged",116144
2004,"Total, all violations [0]","Total, youth not charged",117446
2005,"Total, all violations [0]","Total, youth not charged",111591
2006,"Total, all violations [0]","Total, youth not charged",119012
2007,"Total, all violations [0]","Total, youth not charged",115979
2008,"Total, all violations [0]","Total, youth not charged",112681
2009,"Total, all violations [0]","Total, youth not charged",111612
2010,"Total, all violations [0]","Total, youth not charged",104587
2011,"Total, all violations [0]","Total, youth not charged",94608
2012,"Total, all violations [0]","Total, youth not charged",86893
2013,"Total, all violations [0]","Total, youth not charged",72146
2014,"Total, all violations [0]","Total, youth not charged",64978
2015,"Total, all violations [0]","Total, youth not charged",62422
2016,"Total, all violations [0]","Total, youth not charged",59373
2017,"Total, all violations [0]","Total, youth not charged",60705
2018,"Total, all violations [0]","Total, youth not charged",53214
2019,"Total, all violations [0]","Total, youth not charged",45265
2000,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",3179.69
2001,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",3450.11
2002,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",3454.34
2003,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",4544.73
2004,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",4548.81
2005,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",4278.59
2006,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",4530.9
2007,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",4426.11
2008,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",4339.29
2009,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",4351.59
2010,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",4135.19
2011,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",3802.63
2012,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",3560.49
2013,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",3015.2
2014,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2753.21
2015,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2655.2
2016,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2509.86
2017,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2562.42
2018,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2237.07
2019,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1881.61
2000,"Total violent Criminal Code violations [100]","Actual incidents",458559
2001,"Total violent Criminal Code violations [100]","Actual incidents",457043
2002,"Total violent Criminal Code violations [100]","Actual incidents",451733
2003,"Total violent Criminal Code violations [100]","Actual incidents",453963
2004,"Total violent Criminal Code violations [100]","Actual incidents",448514
2005,"Total violent Criminal Code violations [100]","Actual incidents",447857
2006,"Total violent Criminal Code violations [100]","Actual incidents",451652
2007,"Total violent Criminal Code violations [100]","Actual incidents",445252
2008,"Total violent Criminal Code violations [100]","Actual incidents",443608
2009,"Total violent Criminal Code violations [100]","Actual incidents",444533
2010,"Total violent Criminal Code violations [100]","Actual incidents",439220
2011,"Total violent Criminal Code violations [100]","Actual incidents",424338
2012,"Total violent Criminal Code violations [100]","Actual incidents",416147
2013,"Total violent Criminal Code violations [100]","Actual incidents",384385
2014,"Total violent Criminal Code violations [100]","Actual incidents",370050
2015,"Total violent Criminal Code violations [100]","Actual incidents",382115
2016,"Total violent Criminal Code violations [100]","Actual incidents",388564
2017,"Total violent Criminal Code violations [100]","Actual incidents",406626
2018,"Total violent Criminal Code violations [100]","Actual incidents",426839
2019,"Total violent Criminal Code violations [100]","Actual incidents",480004
2000,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1494.21
2001,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1473.43
2002,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1440.77
2003,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1434.79
2004,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1404.21
2005,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1388.91
2006,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1386.69
2007,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1353.85
2008,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1334.33
2009,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1321.89
2010,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1291.62
2011,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1235.72
2012,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1198.78
2013,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1095.65
2014,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1044.23
2015,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1070.26
2016,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1076.07
2017,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1112.72
2018,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1151.82
2019,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1276.97
2000,"Total violent Criminal Code violations [100]","Percentage change in rate",3.76
2001,"Total violent Criminal Code violations [100]","Percentage change in rate",-1.39
2002,"Total violent Criminal Code violations [100]","Percentage change in rate",-2.22
2003,"Total violent Criminal Code violations [100]","Percentage change in rate",-0.42
2004,"Total violent Criminal Code violations [100]","Percentage change in rate",-2.13
2005,"Total violent Criminal Code violations [100]","Percentage change in rate",-1.09
2006,"Total violent Criminal Code violations [100]","Percentage change in rate",-0.16
2007,"Total violent Criminal Code violations [100]","Percentage change in rate",-2.37
2008,"Total violent Criminal Code violations [100]","Percentage change in rate",-1.44
2009,"Total violent Criminal Code violations [100]","Percentage change in rate",-0.93
2010,"Total violent Criminal Code violations [100]","Percentage change in rate",-2.29
2011,"Total violent Criminal Code violations [100]","Percentage change in rate",-4.33
2012,"Total violent Criminal Code violations [100]","Percentage change in rate",-2.99
2013,"Total violent Criminal Code violations [100]","Percentage change in rate",-8.6
2014,"Total violent Criminal Code violations [100]","Percentage change in rate",-4.69
2015,"Total violent Criminal Code violations [100]","Percentage change in rate",2.49
2016,"Total violent Criminal Code violations [100]","Percentage change in rate",0.54
2017,"Total violent Criminal Code violations [100]","Percentage change in rate",3.41
2018,"Total violent Criminal Code violations [100]","Percentage change in rate",3.51
2019,"Total violent Criminal Code violations [100]","Percentage change in rate",10.87
2000,"Total violent Criminal Code violations [100]","Total cleared",315986
2001,"Total violent Criminal Code violations [100]","Total cleared",310162
2002,"Total violent Criminal Code violations [100]","Total cleared",302627
2003,"Total violent Criminal Code violations [100]","Total cleared",299594
2004,"Total violent Criminal Code violations [100]","Total cleared",291381
2005,"Total violent Criminal Code violations [100]","Total cleared",299318
2006,"Total violent Criminal Code violations [100]","Total cleared",312275
2007,"Total violent Criminal Code violations [100]","Total cleared",310566
2008,"Total violent Criminal Code violations [100]","Total cleared",313426
2009,"Total violent Criminal Code violations [100]","Total cleared",316707
2010,"Total violent Criminal Code violations [100]","Total cleared",317212
2011,"Total violent Criminal Code violations [100]","Total cleared",303431
2012,"Total violent Criminal Code violations [100]","Total cleared",298470
2013,"Total violent Criminal Code violations [100]","Total cleared",276781
2014,"Total violent Criminal Code violations [100]","Total cleared",266422
2015,"Total violent Criminal Code violations [100]","Total cleared",269834
2016,"Total violent Criminal Code violations [100]","Total cleared",276071
2017,"Total violent Criminal Code violations [100]","Total cleared",284808
2018,"Total violent Criminal Code violations [100]","Total cleared",288783
2019,"Total violent Criminal Code violations [100]","Total cleared",292140
2000,"Total violent Criminal Code violations [100]","Total, persons charged",172946
2001,"Total violent Criminal Code violations [100]","Total, persons charged",181952
2002,"Total violent Criminal Code violations [100]","Total, persons charged",177575
2003,"Total violent Criminal Code violations [100]","Total, persons charged",171260
2004,"Total violent Criminal Code violations [100]","Total, persons charged",169263
2005,"Total violent Criminal Code violations [100]","Total, persons charged",172715
2006,"Total violent Criminal Code violations [100]","Total, persons charged",175878
2007,"Total violent Criminal Code violations [100]","Total, persons charged",174313
2008,"Total violent Criminal Code violations [100]","Total, persons charged",175037
2009,"Total violent Criminal Code violations [100]","Total, persons charged",178860
2010,"Total violent Criminal Code violations [100]","Total, persons charged",177601
2011,"Total violent Criminal Code violations [100]","Total, persons charged",170095
2012,"Total violent Criminal Code violations [100]","Total, persons charged",169048
2013,"Total violent Criminal Code violations [100]","Total, persons charged",158738
2014,"Total violent Criminal Code violations [100]","Total, persons charged",153827
2015,"Total violent Criminal Code violations [100]","Total, persons charged",158322
2016,"Total violent Criminal Code violations [100]","Total, persons charged",163239
2017,"Total violent Criminal Code violations [100]","Total, persons charged",167324
2018,"Total violent Criminal Code violations [100]","Total, persons charged",173047
2019,"Total violent Criminal Code violations [100]","Total, persons charged",187111
2000,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",664.5
2001,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",689.43
2002,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",662.96
2003,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",630.99
2004,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",615.53
2005,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",620.22
2006,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",623.73
2007,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",610.93
2008,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",605.95
2009,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",611.56
2010,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",600.2
2011,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",569.13
2012,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",559.51
2013,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",519.97
2014,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",498.95
2015,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",509.93
2016,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",519.95
2017,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",526.32
2018,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",536.3
2019,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",570.94
2000,"Total violent Criminal Code violations [100]","Total, adult charged",144832
2001,"Total violent Criminal Code violations [100]","Total, adult charged",153089
2002,"Total violent Criminal Code violations [100]","Total, adult charged",149728
2003,"Total violent Criminal Code violations [100]","Total, adult charged",146903
2004,"Total violent Criminal Code violations [100]","Total, adult charged",145564
2005,"Total violent Criminal Code violations [100]","Total, adult charged",148626
2006,"Total violent Criminal Code violations [100]","Total, adult charged",151804
2007,"Total violent Criminal Code violations [100]","Total, adult charged",149597
2008,"Total violent Criminal Code violations [100]","Total, adult charged",151431
2009,"Total violent Criminal Code violations [100]","Total, adult charged",156095
2010,"Total violent Criminal Code violations [100]","Total, adult charged",155854
2011,"Total violent Criminal Code violations [100]","Total, adult charged",150044
2012,"Total violent Criminal Code violations [100]","Total, adult charged",150371
2013,"Total violent Criminal Code violations [100]","Total, adult charged",142189
2014,"Total violent Criminal Code violations [100]","Total, adult charged",139086
2015,"Total violent Criminal Code violations [100]","Total, adult charged",143897
2016,"Total violent Criminal Code violations [100]","Total, adult charged",148232
2017,"Total violent Criminal Code violations [100]","Total, adult charged",151490
2018,"Total violent Criminal Code violations [100]","Total, adult charged",157475
2019,"Total violent Criminal Code violations [100]","Total, adult charged",169986
2000,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",614.97
2001,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",640.59
2002,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",617.24
2003,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",597.51
2004,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",584.2
2005,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",588.87
2006,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",593.65
2007,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",577.33
2008,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",576.01
2009,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",585.02
2010,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",575.93
2011,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",547.63
2012,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",541.42
2013,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",505.37
2014,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",488.53
2015,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",501.44
2016,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",510.62
2017,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",514.88
2018,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",526.88
2019,"Total violent Criminal Code violations [100]","Rate, adult charged per 100,000 population aged 18 years and over",559.78
2000,"Total violent Criminal Code violations [100]","Total, youth charged",28114
2001,"Total violent Criminal Code violations [100]","Total, youth charged",28863
2002,"Total violent Criminal Code violations [100]","Total, youth charged",27847
2003,"Total violent Criminal Code violations [100]","Total, youth charged",24357
2004,"Total violent Criminal Code violations [100]","Total, youth charged",23699
2005,"Total violent Criminal Code violations [100]","Total, youth charged",24089
2006,"Total violent Criminal Code violations [100]","Total, youth charged",24074
2007,"Total violent Criminal Code violations [100]","Total, youth charged",24716
2008,"Total violent Criminal Code violations [100]","Total, youth charged",23606
2009,"Total violent Criminal Code violations [100]","Total, youth charged",22765
2010,"Total violent Criminal Code violations [100]","Total, youth charged",21747
2011,"Total violent Criminal Code violations [100]","Total, youth charged",20051
2012,"Total violent Criminal Code violations [100]","Total, youth charged",18677
2013,"Total violent Criminal Code violations [100]","Total, youth charged",16549
2014,"Total violent Criminal Code violations [100]","Total, youth charged",14741
2015,"Total violent Criminal Code violations [100]","Total, youth charged",14425
